Word,Translation,Example,Example Translation
Hello,سلام,Hello! How are you?,سلام! چطوری؟
Yes,بله,"Yes, I understand.",بله، من میفهمم.
No,نه,"No, I don't know.",نه، من نمی‌دانم.
Please,لطفاً,"Can you help me, please?",لطفاً می‌توانی به من کمک کنی؟
Thank you,متشکرم,Thank you for your help.,متشکرم بابت کمک شما.
Excuse me,معذرت می‌خواهم,"Excuse me, where is the bathroom?",معذرت می‌خواهم، دستشویی کجاست؟
Good morning,صبح بخیر,Good morning! How are you today?,صبح بخیر! امروز چطوری؟
Goodbye,خداحافظ,"Goodbye, see you later!",خداحافظ، بعداً می‌بینمت!
What,چی,What is your name?,نام شما چیست؟
Where,کجا,Where are you from?,از کجا هستی؟
I am,من هستم,I am a student.,من دانش آموز هستم.
You are,تو هستی,You are my friend.,تو دوستم هستی.
He/She is,او هست (مذکر/مونث),She is a teacher.,او معلم است. (برای خانم)
It is,آن است,It is a cat.,آن یک گربه است.
We are,ما هستیم,We are happy to meet you.,ما خوشحالیم که شما را ملاقات کردیم.
They are,آنها هستند,They are playing football.,آنها در حال بازی فوتبال هستند.
I like,من دوست دارم,I like coffee.,من قهوه دوست دارم.
I don't like,من دوست ندارم,I don't like tea.,من چای دوست ندارم.
Can,می‌توانستن,Can you help me?,می‌توانی به من کمک کنی؟
Cannot,نمی‌توانستن,I cannot swim.,من نمی‌توانم شنا کنم.
Where is,کجا است,Where is the station?,ایستگاه کجاست؟
How,چگونه,How do you do?,چگونه هستید؟
Why,چرا,Why are you sad?,چرا ناراحتی؟
What time,چه ساعتی,What time is it?,ساعت چنده؟
Today,امروز,Today is a sunny day.,امروز روز آفتابی است.
Tomorrow,فردا,I will go to the market tomorrow.,من فردا به بازار می‌روم.
Yesterday,دیروز,"Yesterday, I visited my friend.",دیروز من به دیدار دوستم رفتم.
Big,بزرگ,This is a big house.,این یک خانه بزرگ است.
Small,کوچک,This is a small car.,این یک ماشین کوچک است.
Happy,خوشحال,I feel happy today.,امروز احساس خوشحالی دارم.
Sad,غمگین,He is feeling sad today.,او امروز احساس غمگینی دارد.
Tired,خسته,I am tired after work.,من بعد از کار خسته هستم.
Hungry,گرسنه,"I am hungry, let's eat.",من گرسنه هستم، بیایید غذا بخوریم.
Thirsty,تشنگی,"I am thirsty, can I have some water?",من تشنه هستم، می‌توانم کمی آب داشته باشم؟
Hot,داغ,It is hot today.,امروز داغ است.
Cold,سرد,The weather is cold today.,امروز هوا سرد است.
Beautiful,زیبا,This is a beautiful view.,این یک منظره زیبا است.
Clean,تمیز,The kitchen is clean now.,آشپزخانه حالا تمیز است.
Dirty,کثیف,The floor is dirty.,کف زمین کثیف است.
Good night,شب بخیر,Good night! See you tomorrow.,شب بخیر! فردا می‌بینمت.
Sorry,معذرت می‌خواهم,I’m sorry for the mistake.,من برای اشتباه معذرت می‌خواهم.
Right,درست,You are right.,تو درست می‌گویی.
Wrong,غلط,This answer is wrong.,این پاسخ غلط است.
Friend,دوست,He is my best friend.,او بهترین دوستم است.
Family,خانواده,My family is very important to me.,خانواده من برای من خیلی مهم است.
Car,ماشین,My car is new.,ماشین من جدید است.
Train,قطار,I take the train every morning.,من هر صبح با قطار می‌روم.
Bus,اتوبوس,The bus arrives at 8 o'clock.,اتوبوس ساعت 8 می‌رسد.
Bicycle,دوچرخه,I ride my bicycle to school.,من با دوچرخه به مدرسه می‌روم.
Doctor,پزشک,The doctor is very kind.,پزشک خیلی مهربان است.
Teacher,معلم,She is my English teacher.,او معلم انگلیسی من است.
Book,کتاب,I am reading a book.,من در حال خواندن یک کتاب هستم.
Pen,خودکار,I write with a pen.,من با خودکار می‌نویسم.
Paper,کاغذ,I need a piece of paper.,من به یک تکه کاغذ نیاز دارم.
Chair,صندلی,This is a comfortable chair.,این یک صندلی راحت است.
Table,میز,The table is in the center of the room.,میز در مرکز اتاق است.
Window,پنجره,The window is open.,پنجره باز است.
Door,درب,"Close the door, please.",لطفاً درب را ببندید.
